Stage,Subject,Outcome,Focus Area,Focus Group,Content Group,Content Point
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Use counting sequences of ones with two-digit numbers and beyond,Identify the number before and after a given two-digit number
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Use counting sequences of ones with two-digit numbers and beyond,Count forwards and backwards by ones from a given number to at least 120
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Continue and create number patterns,Model and describe 'odd' and 'even' numbers using items paired in two rows
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Continue and create number patterns,Count forwards and backwards by twos from any starting point
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent numbers on a line,Sequence numbers and arrange them on a line by considering the order and size of those numbers
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent numbers on a line,Locate the approximate position of multiples of 10 on a model of a number line from 0 to 100
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent the structure of groups of ten in whole numbers,Recognise that ten ones is the same as one ten
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent the structure of groups of ten in whole numbers,Use 10 as a reference in forming numbers from 11 to 20
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent the structure of groups of ten in whole numbers,Count large sets of objects by systematically grouping in tens
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent the structure of groups of ten in whole numbers,Partition two-digit numbers to show quantity values
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent the structure of groups of ten in whole numbers,Use number lines and number charts to assist with locating the nearest ten to a number
1,Mathematics,Number and Algebra,Representing whole numbers A,Representing whole numbers A,Represent the structure of groups of ten in whole numbers,"Estimate, to the nearest ten, the number of objects in a collection and check by counting in groups of ten (Reasons about quantity)"
1,Mathematics,Number and Algebra,Representing whole numbers B,Representing whole numbers B,Use counting sequences of ones and tens flexibly,Identify the number before and after a given three-digit number
